,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,all_targets,feat_dictionary,feature_bins,greater,k,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,selected_features,mixa,mixy,eta
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function base_classifier at 0x7f9ab71491b0>,adult_no_fselection_base_classifier_age_bins_5,base_model,0.4885202765817034,-0.0729514349106224,-0.0251752021563342,0.0364757174553112,0.7047970479704797,0.7977399279397315,0.7884572860617676,"filtered_age_bins,workclass,relationship,occupation,education,hours-per-week,capital-gain,capital-loss,income-per-year",0.6113032657798071,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function base_classifier at 0x7f9ab71491b0>,adult_no_fselection_base_classifier_marital-status_5,base_model,0.2454580945370419,-0.1251102676348118,0.0333903270129894,0.0625551338174059,0.7047970479704797,0.7977399279397315,0.7884572860617676,"filtered_marital-status,workclass,relationship,occupation,education,hours-per-week,capital-gain,capital-loss,income-per-year",0.8682734463843701,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function base_classifier at 0x7f9ab71491b0>,adult_no_fselection_base_classifier_race_5,base_model,0.6143897616305891,-0.0406355405085337,0.0053569221806369,0.0203177702542668,0.7047970479704797,0.7977399279397315,0.7884572860617676,"filtered_race,workclass,relationship,occupation,education,hours-per-week,capital-gain,capital-loss,income-per-year",0.1612435091101864,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function base_classifier at 0x7f9ab71491b0>,adult_no_fselection_base_classifier_sex_5,base_model,0.2489840627804183,-0.0988844449657939,-0.1343431638246447,0.0494422224828969,0.7047970479704797,0.7977399279397315,0.7884572860617676,"filtered_sex,workclass,relationship,occupation,education,hours-per-week,capital-gain,capital-loss,income-per-year",0.3877969698714459,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function fair_classifier_adversarial at 0x7f9ab71492d0>,adult_no_fselection_fair_classifier_adversarial_age_bins_5,fair_model_adversarial,0.9767904705446636,-0.0035513015977507,0.1982170387448354,0.1192792599406431,0.7044455300439668,0.8322048611111111,0.812928429276922,"['filtered_age_bins', 'workclass', 'relationship', 'occupation', 'education', 'hours-per-week', 'capital-gain', 'capital-loss', 'income-per-year']",0.6113032657798071,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('marital-status', ['Married-civ-spouse'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function fair_classifier_adversarial at 0x7f9ab71492d0>,adult_no_fselection_fair_classifier_adversarial_marital-status_5,fair_model_adversarial,0.324694712190926,-0.0675413009182149,0.0989381673119793,0.0505161835020596,0.8449074074074074,0.7969770920255058,0.8000294833050785,"['filtered_marital-status', 'workclass', 'relationship', 'occupation', 'education', 'hours-per-week', 'capital-gain', 'capital-loss', 'income-per-year']",0.8682734463843701,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('race', ['White'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function fair_classifier_adversarial at 0x7f9ab71492d0>,adult_no_fselection_fair_classifier_adversarial_race_5,fair_model_adversarial,0.6890186387409988,-0.0383865120416498,0.0336024867318213,0.0194706238683355,0.7896379525593009,0.8231508566652738,0.819193631606103,"['filtered_race', 'workclass', 'relationship', 'occupation', 'education', 'hours-per-week', 'capital-gain', 'capital-loss', 'income-per-year']",0.1612435091101864,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('sex', [1])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function fair_classifier_adversarial at 0x7f9ab71492d0>,adult_no_fselection_fair_classifier_adversarial_sex_5,fair_model_adversarial,1.575837170181823,0.053098964609853,0.4163135260696236,0.2398916838353865,0.7281292059219381,0.8130121678668984,0.8037148964398909,"['filtered_sex', 'workclass', 'relationship', 'occupation', 'education', 'hours-per-week', 'capital-gain', 'capital-loss', 'income-per-year']",0.3877969698714459,0.2681447371331561,
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function fair_classifier at 0x7f9ab7149240>,adult_no_fselection_fair_classifier_age_bins_5,fair_model,0.3202859264293175,-0.061265029628218,-0.0600596409789346,0.0346445263161158,0.9155124653739612,0.7892565200467108,0.7959755288567848,"['filtered_age_bins', 'workclass', 'relationship', 'occupation', 'education', 'hours-per-week', 'capital-gain', 'capital-loss', 'income-per-year']",0.6113032657798071,0.2681447371331561,20.0
0,<__main__.NamedDataset object at 0x7f9ab7113b80>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['sex', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",income-per-year,[20],['income-per-year'],"{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16}","{'workclass': 7, 'relationship': 6, 'occupation': 14, 'education': 16, 'sex': 2, 'race': 5, 'age_bins': 10, 'marital-status': 7, 'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'income-per-year': 2}",False,5,<function no_fselection at 0x7f9ab7148940>,<function fair_classifier_lfr at 0x7f9ab7148550>,adult_no_fselection_fair_classifier_lfr_age_bins_5,lfr_model,0.5245814956351814,-0.0376500080450232,0.0,0.0188250040225116,1.0,1.0,1.0,"filtered_age_bins,workclass,relationship,occupation,education,hours-per-week,capital-gain,capital-loss,income-per-year",0.6113032657798071,0.2681447371331561,
