,data,features_cat,features_num,protected_attributes,p_att_description,target,etas,feat_dictionary,greater,k,technique,model,dir_name,model_type,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,eta
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=10000_5,base_model,0.9067738799318964,-0.089373937109259,-0.0170468006288901,0.1613230949577393,0.8526519666269369,0.7249303621169916,0.8403095558546433,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=20000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=20000_5,base_model,0.7615602462472819,-0.1875770974692493,-0.0343203367709623,0.1601732774111497,0.7541394882087306,0.7027579162410623,0.7372139973082099,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=30000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=30000_5,base_model,0.6207791206241574,-0.221117313031791,-0.0612970163474847,0.1257914565765529,0.7303574121550294,0.7842994288491919,0.760228802153432,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=40000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=40000_5,base_model,0.606616926420779,-0.0609212353044281,-0.0107760863311113,0.0396775710802977,0.7237219988512349,0.7230734049851361,0.7231493943472409,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=50000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=50000_5,base_model,0.522101664677943,-0.0588195549566437,0.0056573603207884,0.0307252837228148,0.7787267080745341,0.809755378720896,0.8070659488559893,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=60000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=60000_5,base_model,0.4408645158617976,-0.0580560947683671,-0.003330087633885,0.0290280473841835,0.8077304261645193,0.874377301277886,0.8698519515477793,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=70000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=70000_5,base_model,0.4195180702737515,-0.0373115702667057,0.0212384967586926,0.0186557851333528,0.8676470588235294,0.9077765300393038,0.9061238223418572,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=80000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=80000_5,base_model,0.4307319032895499,-0.0214116377537216,0.0342613913892959,0.0107058188768608,0.8370165745856354,0.9310939439922749,0.9288021534320324,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('age_bins', ['(38.9, 46.2]', '(46.2, 53.5]', '(53.5, 60.8]'])",>=90000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_age_bins_>=90000_5,base_model,0.4202698947724499,-0.0193482235366425,0.0264807545843341,0.0096741117683212,0.8805031446540881,0.954339155549443,0.9527590847913864,
0,<__main__.NamedDataset object at 0x7fc6ca8f3520>,"['workclass', 'relationship', 'occupation', 'education']","['hours-per-week', 'capital-gain', 'capital-loss']","['gender', 'race', 'age_bins', 'marital-status']","('gender', ['Male'])",>=10000,"[1, 10, 20]","{'hours-per-week': 5, 'capital-gain': 5, 'capital-loss': 5, 'education-num': 16, 'workclass': 9, 'relationship': 6, 'occupation': 15}",False,5,<function sequential_fs at 0x7fc6ca918ee0>,<function base_classifier at 0x7fc6ca919120>,adult_sequential_fs_base_classifier_gender_>=10000_5,base_model,0.8607337526164853,-0.1319297874850189,-0.0577514605722475,0.14289403395174,0.8526519666269369,0.7249303621169916,0.8403095558546433,
